post,sentiment,post_cleaned
Peacefully sitting here reading my book after work,0,peacefully sitting reading book work
soph please don%27t win again unhappy jk.. good luck i think you will draw a good poster ğŸ˜§,0,soph don 27t win unhappy jk . . good luck think draw good poster _emoji_
Teaser coming out today at 4pm!Story,1,teaser coming today 4pm ! story
An inspiration in all aspects: Fashion,1,inspiration aspects : fashion
Claaaaaaaaaaaaasse !,0,claaaaaaaaaaaaasse !
why can't dogs just live forever unhappy ğŸ˜§,0,t dogs just live forever unhappy _emoji_
One year ago today unhappy ğŸ˜§,0,year ago today unhappy _emoji_
=Thumbnail UHC= This is my best render ever :Dand Favs are appreciated brosOpinios ?,1,thumbnail uhc best render : dand favs appreciated brosopinios ?
Is that store still in use? If so,0,store use ?
i left my headphones at home unhappy kms ğŸ˜§,0,left headphones home unhappy kms _emoji_
the application is Kana Kanji Funtime! Sadly,0,application kana kanji funtime ! sadly
lexxxxxy unhappy youre too nice to me instant message really not eek ğŸ˜§,0,lexxxxxy unhappy youre nice instant message really not eek_NEG _emoji_
but customs mean we can't send food abroad unhappy We do hope your other Birthday dreams come true ğŸ˜§,0,customs mean t send food abroad unhappy hope birthday dreams come true _emoji_
Rl? Serius?,0,rl ? serius ?
this looks awesome! Id love to see a VN like this ğŸ˜„ ğŸ˜,1,looks awesome ! id love vn like _emoji_ _emoji_
he could be whatever,0,
And you're right about McConnell as well. Unfortunately,0,right mcconnell . unfortunately
I need cheering up,0,need cheering
how to be you piss off crying 3 ğŸ˜†,0,piss crying 3 _emoji_
Wow! My friend Dara shared this from her hubby!!! He looks TERRIFIC. ğŸ˜Š Order YOURS here -,1,wow ! friend dara shared hubby ! ! ! looks terrific . _emoji_ order
this is the main reason I drink Total selflessness ğŸ˜„,1,main reason drink total selflessness _emoji_
at least it's not 80 cad like here unhappy (90 cad with Quebec taxes) ğŸ˜§,0,s not 80_NEG cad_NEG like_NEG unhappy_NEG 90_NEG cad_NEG quebec_NEG taxes_NEG _emoji_
Hi Mahima! We share your concern unhappy Please DM us your contact details so that we can get in touch for a detailed.. cont1 ğŸ˜§,0,hi mahima ! share concern unhappy dm contact details touch detailed . . cont1 _emoji_
Youngjae looked so sad in the video unhappy ğŸ˜” ğŸ˜§,0,youngjae looked sad video unhappy _emoji_ _emoji_
Yeah did update to 16.04,0,yeah did update 16 . 04
Beautiful album from the greatest unsung guitar genius of our time - and I've met the great backstage,1,beautiful album greatest unsung guitar genius time ve met great backstage
Speech-to-text doesnt understand my accent or Irish names unhappy ğŸ˜§,0,speech text doesnt understand accent irish names unhappy _emoji_
tonight 7pm,1,tonight 7pm
Go :*!!... I know you can do it..,1,: ! ! . . . know . .
A nice morning working from today. Lovely atmosphere,1,nice morning working today . lovely atmosphere
Think it would drive me mad once the synths and other robots turned up. unhappy ğŸ˜§,0,think drive mad synths robots turned . unhappy _emoji_
It's a very cute picture though ğŸ˜„,1,s cute picture _emoji_
it's been so much fun and I absolutely love the kids!! Don't want it to be over so soon unhappy ğŸ˜ ğŸ˜§,0,s fun absolutely love kids ! ! don t want soon unhappy _emoji_ _emoji_
Unnamed: 938,0,unnamed : 938
wifi,1,wifi
music and direction by of my favourites by,1,music direction favourites
senior snaps are starting to get so senti aw unhappy ğŸ˜§,0,senior snaps starting senti aw unhappy _emoji_
unhappy But if there'll be 1 Silver-that'd be him! ğŸ˜§,0,unhappy ll 1 silver d ! _emoji_
and totally of,1,totally
Thanks for the recent follow Happy to connect happy have a great Thursday. Get this ğŸ˜Š,1,thanks recent follow happy connect happy great thursday . _emoji_
Q2 I'm not an MH healthcare professional. As much as I want to help I'm scared to death I might make the situation,0,q2 m not mh_NEG healthcare_NEG professional_NEG . want help m scared death make situation
Ah Baba no idea tori olorun. May I never be a victim of such case,0,ah baba no idea_NEG tori_NEG olorun_NEG . never victim_NEG case_NEG
And the website is down since long happy ğŸ˜Š,1,website long happy _emoji_
fuck get me followers unhappy my ratio is amazing ğŸ˜§,0,fuck followers unhappy ratio amazing _emoji_
Used up a month's worth at Laugharne Weekend sad (no wi-fi in small Carmarthenshire towns ğŸ˜”,0,used month s worth laugharne weekend sad no wi_NEG fi_NEG small_NEG carmarthenshire_NEG towns_NEG _emoji_
Hey,1,hey
it kind of feels like a sunburight now right now sad someone please make the nobby things on glasses not slip ğŸ˜”,0,kind feels like sunburight right sad make nobby things glasses not slip_NEG _emoji_
I'm just really soft spoken unhappy ğŸ˜§,0,m just really soft spoken unhappy _emoji_
Work at 7 this morning unhappy ğŸ˜§,0,work 7 morning unhappy _emoji_
buy or do anything that supports Canada until,0,buy supports canada
red velvet too unhappy ğŸ˜§,0,red velvet unhappy _emoji_
PLEASE THIS BEAUTIFUL PRINCESS HAVE YOUR HELP,1,beautiful princess help
Mmmm... the blood of my enemies... happy ğŸ˜Š,1,mmmm . . . blood enemies . . . happy _emoji_
we buried it alive and now it's screaming in my head crying ğŸ˜†,0,buried alive s screaming head crying _emoji_
hey.1,1,hey . 1
Jyoust hyoug me,0,jyoust hyoug
I wish I was meeting OA again unhappy ğŸ˜§,0,wish meeting oa unhappy _emoji_
Yes,1,yes
tonight 7pm.1,1,tonight 7pm . 1
It seems they cost abut 40k a year? I'm paying half that for my full education and don't get treat,0,cost abut 40k year ? m paying half education don t treat
I'll check that out... I was excited about the backup singers but they were way too backup unhappy ğŸ˜§,0,ll check . . . excited backup singers way backup unhappy _emoji_
Just delivered my Managing the Online Customer Journey keynote at the Autodesk Partner Event. Incredible event,1,just delivered managing online customer journey keynote autodesk partner event . incredible event
ABC News got ahold of me and asked if they could use a few seconds of my coming out video for a transgender special this f,1,abc news got ahold asked use seconds coming video transgender special f
Thanks for the this week,1,thanks week
hi cham,1,hi cham
Hey thanks for being top High Value Members of last week,1,hey thanks high value members week
All of the park areas in Paris are marked as green on Google maps,0,park areas paris marked green google maps
The Bank Job,1,bank job
I miss the 7/27 costumes unhappy ğŸ˜§,0,miss 7 27 costumes unhappy _emoji_
all! I'm Roy Dahildahil,1,! m roy dahildahil
Youngjae during fansign on 04/10/17 constantly massaging his back. Clearly something wrong but pretended he was not,0,youngjae fansign 04 10 17 constantly massaging . clearly wrong pretended not
SURE NO PROB. ILABYU TOO,0,sure no prob_NEG . ilabyu
Congrats for 3M followers on Instagram! happy ğŸ˜Š,1,congrats 3m followers instagram ! happy _emoji_
Your body hears everything your mind says. Be kind,1,body hears mind says . kind
Going to CA in July,0,going ca july
A fish killer going to be pressed younhappy I the hoe of today you were a GOOD person .1,0,fish killer going pressed younhappy hoe today good person . 1
You may draw your conclusions from any deviation from that level either in the direction of therapy or prevention,1,draw conclusions deviation level direction therapy prevention
I feel so awful today unhappy I don't want to go to my internship ğŸ˜§,0,feel awful today unhappy don t want internship _emoji_
You better check this out,1,better check
sad I don't ğŸ˜”,0,sad don t _emoji_
Need your help guys crying ğŸ˜†,0,need help guys crying _emoji_
beautiful set,1,beautiful set
2nd Cousin Vlad !!!!! maybe thats a message from the Hockey G,1,2nd cousin vlad ! ! ! ! ! maybe thats message hockey g
DM us happy S.3 ğŸ˜Š,1,dm happy s . 3 _emoji_
We've 80 so far in our collection of 150+! happy New gin menu coming soon as well! ğŸ˜Š,1,ve 80 far collection 150 ! happy new gin menu coming soon ! _emoji_
Hi Han,1,hi han
Awesome recommendation Jess! Listened to the,1,awesome recommendation jess ! listened
Nothing could be better happy.4,1,nothing better_NEG happy_NEG . 4
Sister cyril came to our school once happy ğŸ˜Š,1,sister cyril came school happy _emoji_
Hey.1,1,hey . 1
I won't be on till later! unhappy ğŸ˜§,0,won t till later ! unhappy _emoji_
there's always shit like this. there's always people who are less deserving getting tickets,0,s shit like . s people deserving getting tickets
Agreed! I feel like I've skipped too many css/design fundamentals. I'm spending the next couple of,1,agreed ! feel like ve skipped css design fundamentals . m spending couple
Thanks for the recent follow Happy to connect happy have a great Thursday..18 ğŸ˜Š,1,thanks recent follow happy connect happy great thursday . . 18 _emoji_
Thanks for sharing my iris photo. I really appreciate it smile ğŸ˜­,1,thanks sharing iris photo . really appreciate smile _emoji_
assumes Im outsider because of my,0,assumes im outsider
we just reply to his tweets?? Like all his other followers do.....This is pointless,1,just reply tweets ? ? like followers . . . . . pointless
Gorbachev done w/o fear. Thought bold enough to implement his vision on Damp Squib unhappy ğŸ˜§,0,gorbachev w o fear . thought bold implement vision damp squib unhappy _emoji_
PLAYMFS: need moodbooster juseyo unhappy jily_jelly ğŸ˜§,0,playmfs : need moodbooster juseyo unhappy _emoji_
My husband has a family history with the mafia too but he doesn't know the stories sad ğŸ˜”,0,husband family history mafia doesn t know stories sad _emoji_
Thanks for the recent follow Happy to connect happy have a great Thursday. Want this.5 ğŸ˜Š,1,thanks recent follow happy connect happy great thursday . want . 5 _emoji_
Feeling myself,1,feeling
this is damn.... theres people who sincerely want to attend BH birthday party but bcs of those people who try for fun make them ca.3,0,damn . . . . theres people sincerely want attend bh birthday party bcs people try fun make ca . 3
Our crazy EASTER! Our donkey is insane! Seriously crazy haha!,1,crazy easter ! donkey insane ! seriously crazy haha !
Nah over-rated happy x ğŸ˜Š,1,nah rated happy x _emoji_
Someone should bring me breakfast to work unhappy ğŸ˜§,0,bring breakfast work unhappy _emoji_
so sorry I havent been checking my tweets unhappy We are all here for you! ğŸ˜§,0,sorry havent checking tweets unhappy ! _emoji_
not being spe,1,not spe_NEG
i love you but I can%27t be arsed i don%27t know why people keep saying it unhappy ğŸ˜ ğŸ˜§,0,love 27t arsed don 27t know people saying unhappy _emoji_ _emoji_
Crap. Hailie won't be there. She has a school game and won't make it to Middleburg in time unhappy ğŸ˜§,0,crap . hailie won t . school game won t make middleburg time unhappy _emoji_
Still NO sign - it's a very small area ( Gardens ) and it would be very obvious sad quite a few eyes now ğŸ˜”,0,no sign_NEG s_NEG small_NEG area_NEG gardens_NEG obvious_NEG sad_NEG quite_NEG eyes_NEG _emoji_
Ok. Just please read the replies on this....,1,ok . just read replies . . . .
they're like 90 calories per piece unhappy ğŸ˜§,0,like 90 calories piece unhappy _emoji_
the girl in front of me was,0,girl
New twitter account piss off no idea MAJA SALVADOR is Follow not applicable guys happy ğŸ˜Š,1,new twitter account piss no idea_NEG maja_NEG salvador_NEG follow_NEG not applicable_NEG guys_NEG happy_NEG _emoji_
it just proves me wrong in a matter of days happy fuck my life happy )) ğŸ˜Š ğŸ˜Š,1,just proves wrong matter days happy fuck life happy _emoji_ _emoji_
That is super scary unhappy ğŸ˜§,0,super scary unhappy _emoji_
most painful thing ever is having feelings for someone you can't be with .. unhappy ğŸ˜§,0,painful thing having feelings t . . unhappy _emoji_
Russell my phone is just 10% is there a possibility or a chance that you would notice me? unhappy ğŸ˜§,0,russell phone just 10 possibility chance notice ? unhappy _emoji_
Hey everyone me and Harry have just had pancakes and maple syrup for breakfast . Great way to start the day happy Miss you a ğŸ˜Š,1,hey harry just pancakes maple syrup breakfast . great way start day happy miss _emoji_
I'm staying here in SA unhappy ğŸ˜§,0,m staying sa unhappy _emoji_
MUZ U MORE,0,muz u
I can't do it all on my own. (See what I did there? ),0,t . did ?
trashing others and having a possee behind you boosts your ego,0,trashing having possee boosts ego
The biblical lectures are coming. More notification soon. Tomorrow,0,biblical lectures coming . notification soon . tomorrow
Love you too P!,1,love p !
But I'm lonely. unhappy ğŸ˜§,0,m lonely . unhappy _emoji_
my boyfriend mad cute unhappy ğŸ˜§,0,boyfriend mad cute unhappy _emoji_
Sorry for being tired on stream. Will get some sleep and try be more fun tomorrow. Just wasn't feeling it tonight guys. Not,0,sorry tired stream . sleep try fun tomorrow . just wasn t feeling tonight guys . not
Am away next Thursday unhappy the one after! ğŸ˜§,0,away thursday unhappy ! _emoji_
Superstar thanks so much for the kind words! Look forward to seeing you soon buddy smile.2,1,superstar thanks kind words ! look forward seeing soon buddy smile . 2
I write fiction. Some PR knob who writes sentence fragments on an iPad next to the Shoreditch House piss off,1,write fiction . pr knob writes sentence fragments ipad shoreditch house piss
Guess who's not getting a unicorn frappuccino because they're sold out unhappy .1 ğŸ˜§,0,guess s not getting_NEG unicorn_NEG frappuccino_NEG sold_NEG unhappy_NEG . 1 _emoji_
damn ify ate unhappy ğŸ˜§,0,damn ify ate unhappy _emoji_
If this gets 70rts I will giveaway 5 minecraft accounts and an origin account randomly to people who retw,1,gets 70rts giveaway 5 minecraft accounts origin account randomly people retw
mane has been amazing unhappy ğŸ˜§,0,mane amazing unhappy _emoji_
Do you want me to follow you back? If you do this tweet and I will. happy only ğŸ˜Š,1,want follow ? tweet . happy _emoji_
both look so so good at there current clubs. Shame they never cut it in the PL unhappy ğŸ˜§,0,look good current clubs . shame never cut_NEG pl_NEG unhappy_NEG _emoji_
Im getting one too smile smile smile smile ğŸ˜­ ğŸ˜­ ğŸ˜­ ğŸ˜­,1,im getting smile smile smile smile _emoji_ _emoji_ _emoji_ _emoji_
oh noooo baby unhappy ğŸ˜§,0,oh noooo baby unhappy _emoji_
i took a full drink into my uber; i guess you could say instant message pretty wild. These are the Tuesdays we'll never forget happy ğŸ˜Š,1,took drink uber ; guess say instant message pretty wild . tuesdays ll never forget_NEG happy_NEG _emoji_
You deserve better . Hope you'll be okay unhappy ğŸ˜§,0,deserve better . hope ll okay unhappy _emoji_
Why am I better at pen then pencil?dafaqcomonI just want to be a good drawer unhappy ğŸ˜§,0,better pen pencil ? dafaqcomoni just want good drawer unhappy _emoji_
That would be a great trick happy.3,1,great trick happy . 3
I want to give him everything that makes him happy just to see this smile unhappy ğŸ˜Š ğŸ˜­ ğŸ˜§,0,want makes happy just smile unhappy _emoji_ _emoji_ _emoji_
You say VUCA,1,say vuca
where's justin i miss him unhappy ğŸ˜§,0,s justin miss unhappy _emoji_
AVI for my man ğŸ˜Š Phone made like always ;).1,1,avi man _emoji_ phone like ; . 1
Shameful,0,shameful
i wasn't saying i read a book today.1,1,wasn t saying read book today . 1
Currently standing outside the shard with a bag full of empty bottles because I came to work with tom today happy ğŸ˜Š,1,currently standing outside shard bag bottles came work tom today happy _emoji_
this is jimin to yoongi unhappy .6 ğŸ˜§,0,jimin yoongi unhappy . 6 _emoji_
i'll try sad and yes i am unhappy ğŸ˜” ğŸ˜§,0,ll try sad yes unhappy _emoji_ _emoji_
Hi! We tried to call your number but got no response unhappy Please share another suitable time and an alternate number for.. cont1 ğŸ˜§,0,hi ! tried number got no response_NEG unhappy_NEG share_NEG suitable_NEG time_NEG alternate_NEG number_NEG . . cont1 _emoji_
how about me bes jup unhappy ğŸ˜§,0,bes jup unhappy _emoji_
The one with backward cap,1,backward cap
Just wandering around,1,just wandering
can just see the edge creeping in unhappy ğŸ˜§,0,just edge creeping unhappy _emoji_
Byron in 3 weeks,1,byron 3 weeks
Gamer Follow Train!Follow MeRetweet thisFollow all who retweetedGain active followers happy 450 ğŸ˜Š,1,gamer follow train ! follow meretweet thisfollow retweetedgain active followers happy 450 _emoji_
I do it for 5/6 times a week leh sad and yes closing is damn fuck opening so much better ğŸ˜”,0,5 6 times week leh sad yes closing damn fuck opening better _emoji_
My heart hurts. sad I hate people ğŸ˜”,0,heart hurts . sad hate people _emoji_
coming soon to a screen near you.,1,coming soon screen near .
Yesterday's faci so cute! But he 30+ ğŸ˜§ Today's faci is old eeyer,0,yesterday s faci cute ! 30 _emoji_ today s faci old eeyer
But,1,
Thanks for the recent follow Happy to connect happy have a great Thursday..16 ğŸ˜Š,1,thanks recent follow happy connect happy great thursday . . 16 _emoji_
DONT LAUGH unhappy MEANIE BASE ğŸ˜§,0,dont laugh unhappy meanie base _emoji_
NOOOO in here is 6.45 ;_; I have classes at that time unhappy ğŸ˜§,0,noooo 6 . 45 ; ; classes time unhappy _emoji_
this is damn.... theres people who sincerely want to attend BH birthday party but bcs of those people who try for fun make them ca.8,0,damn . . . . theres people sincerely want attend bh birthday party bcs people try fun make ca . 8
you know what i think? you look exceptional for a new Mum,1,know think ? look exceptional new mum
resolve is sooo slow on my laptop,0,resolve sooo slow laptop
Did you go all the way to Keem? Have you been up Minaun? That's a good one if you are into extreme driving today smile ğŸ˜­,1,did way keem ? minaun ? s good extreme driving today smile _emoji_
Thanks for the recent follow Happy to connect happy have a great Thursday. Want this ?.1 ğŸ˜Š,1,thanks recent follow happy connect happy great thursday . want ? . 1 _emoji_
Definitely my arms unhappy .9 ğŸ˜§,0,definitely arms unhappy . 9 _emoji_
a friend who would like a BRAND NEW Strapback hats only 14.99 at,1,friend like brand new strapback hats 14 . 99
Don't be buffalo unhappy ğŸ˜§,0,don t buffalo unhappy _emoji_
Thank you unhappy i need a certificate signed from God ğŸ˜§,0,thank unhappy need certificate signed god _emoji_
Watch your words happy ğŸ˜Š,1,watch words happy _emoji_
i love when people or message me w long messages about how beautiful they find joon like unhappy yes i agree keep going ğŸ˜ ğŸ˜§,0,love people message w long messages beautiful joon like unhappy yes agree going _emoji_ _emoji_
HOLY SHIT! 40 pages script of the opening scene of Man Of Steel on Krypton got compressed.I wish I could at least,0,holy shit ! 40 pages script opening scene man steel krypton got compressed . wish
see the next tweet! I did about 5 different things while keeping very calm,1,tweet ! did 5 different things keeping calm
good,1,good
Mummy,1,mummy
and still not being rich - try getting a life,1,not rich_NEG try_NEG getting_NEG life_NEG
Here is the link for Seventeen's Yokohama Concert with English subs ğŸ˜Š DDL:,1,link seventeen s yokohama concert english subs _emoji_ ddl :
Would really like it if the coandsole versioands and got the update to makr it like the Steam versioand. =(,0,really like coandsole versioands got update makr like steam versioand .
Not really I am a Labour supporter and am actually quite glad happy I mean how much did he claim in 2009 fuck off ğŸ˜Š,1,not really_NEG labour_NEG supporter_NEG actually_NEG quite_NEG glad_NEG happy_NEG mean_NEG did_NEG claim_NEG 2009_NEG fuck_NEG _emoji_
Mine hasn't been sending stuff unhappy ğŸ˜§,0,hasn t sending stuff unhappy _emoji_
koh,0,koh
the displayport to HDMI turned up so we back on to screens o/ 5 days to get the dual PC stream setup sorted (lol) ğŸ˜„,1,displayport hdmi turned screens o 5 days dual pc stream setup sorted lol _emoji_
wish i had someone to cuddle me right now unhappy ğŸ˜§,0,wish cuddle right unhappy _emoji_
[PLEASE RT] he'll buy me a blinking taehyung headband.1,0,rt ll buy blinking taehyung headband . 1
My boo))):,0,boo :
As the last event for chapter 1,1,event chapter 1
unfortunately,0,unfortunately
Please,1,
I just told them to bugger off and hung up! They waned access to my pc. If they phoned someone like my Gran,0,just told bugger hung ! waned access pc . phoned like gran
Koalas are dying of thirst and it's all because of us unhappy .11 ğŸ˜§,0,koalas dying thirst s unhappy . 11 _emoji_
Stats for the day have arrived. 1 new follower and NO unfollowers happy via.3 ğŸ˜Š,1,stats day arrived . 1 new follower no unfollowers_NEG happy_NEG . 3 _emoji_
Bapak Tom Cruise.,0,bapak tom cruise .
Yeah,0,yeah
[PLEASE RT] he'll buy me a blinking taehyung headband.2,0,rt ll buy blinking taehyung headband . 2
instant message still bored unhappy ğŸ˜§,0,instant message bored unhappy _emoji_
do you even care at all unhappy ğŸ˜§,0,care unhappy _emoji_
Teaser coming out today at 4pm!Story.1,1,teaser coming today 4pm ! story . 1
Nice,1,nice
I miss you more unhappy ğŸ˜§,0,miss unhappy _emoji_
13 Reasons Why producers: we care about youth mental health ğŸ˜Š 13RW producers: *show young audience graphic rape and suicide s,1,13 reasons producers : care youth mental health _emoji_ 13rw producers : young audience graphic rape suicide s
Rose come to him! He's really your enthusiast :-D using SO MUCH not SO MAY! :-) ~~~,1,rose come ! s really enthusiast : d using not ! :
a beautiful day happy ğŸ˜Š,1,beautiful day happy _emoji_
unhappy ğŸ˜’ unhappy feeling sick ğŸ˜§ ğŸ˜§,0,unhappy _emoji_ unhappy feeling sick _emoji_ _emoji_
Client work for rt and favorite happy.2,1,client work rt favorite happy . 2
Nooo your hair color is pretty,0,nooo hair color pretty
have a great,1,great
Congratulations,1,congratulations
As if this process hasn't been frustrating enough,0,process hasn t frustrating
this is damn.... theres people who sincerely want to attend BH birthday party but bcs of those people who try for fun make them ca.1,0,damn . . . . theres people sincerely want attend bh birthday party bcs people try fun make ca . 1
As Nani in lies unconscious,0,nani lies unconscious
Joy we should get him back,0,joy
Hellooo.. happy Kyle Davies (RebelByACause) ğŸ˜Š,1,hellooo . . happy kyle davies rebelbyacause _emoji_
Aww hating that I got sponsored,1,aww hating got sponsored
rt if you hate me crying with joy ğŸ˜†,1,rt hate crying joy _emoji_
Hello everyone,1,hello
Thanks for sharing my iris photo. I really appreciate it smile.1,1,thanks sharing iris photo . really appreciate smile . 1
SONE who cant stream at Genie!You CAN stream for TY at Genie! We are still sharing some Genie IDs. If you want it,1,sone stream genie ! stream ty genie ! sharing genie ids . want
Ailes sure knew how to make a great network! Fox is going downhill wi,0,ailes sure knew make great network ! fox going downhill wi
that I said,1,said
my puppies deserves all better unhappy .1 ğŸ˜§,0,puppies deserves better unhappy . 1 _emoji_
Awesome! makes a good nurse maid,1,awesome ! makes good nurse maid
Share the love: thanks for being top new followers this week happy.3,1,share love : thanks new followers week happy . 3
Ah alright,0,ah alright
Unnamed: 527,1,unnamed : 527
Hope he's ok,0,hope s ok
Hi! We tried to call your number but got no response unhappy Please share another suitable time and an alternate number.. cont1 ğŸ˜§,0,hi ! tried number got no response_NEG unhappy_NEG share_NEG suitable_NEG time_NEG alternate_NEG number_NEG . . cont1 _emoji_
Definitely my arms unhappy .11 ğŸ˜§,0,definitely arms unhappy . 11 _emoji_
I just finished gym,0,just finished gym
AVI for my man ğŸ˜Š Phone made like always ğŸ˜‰,1,avi man _emoji_ phone like _emoji_
I know vearey moving. and TWISTY! And you aaree are,1,know vearey moving . twisty ! aaree
he'll kil,0,ll kil
Thank you crew happy.1,1,thank crew happy . 1
This never happened with our happy.1,1,never happened_NEG happy_NEG . 1
